Firstname,Lastname,Gender,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country,Year,Category,Prize_Share,Motivation,Birth_Year,Age
Allan M.,Cormack,male,23/02/1924,South Africa,Johannesburg,ZA,07/05/1998,USA,Winchester MA,US,Tufts University,Medford MA,USA,1979,medicine,2,"""for the development of computer assisted tomography""",,
Odysseus,Elytis,male,02/11/1911,Crete (now Greece),Iráklion,GR,18/03/1996,Greece,Athens,GR,,,,1979,literature,1,"""for his poetry which against the background of Greek tradition depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",,
Abdus,Salam,male,29/01/1926,India (now Pakistan),Jhang Maghiāna,PK,21/11/1996,United Kingdom,Oxford,GB,International Centre for Theoretical Physics,Trieste,Italy,1979,physics,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",,
Frederick,Sanger,male,13/08/1918,United Kingdom,Rendcombe,GB,19/11/2013,United Kingdom,Cambridge,GB,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1958,chemistry,1,"""for his work on the structure of proteins especially that of insulin""",,
Frederick,Sanger,male,13/08/1918,United Kingdom,Rendcombe,GB,19/11/2013,United Kingdom,Cambridge,GB,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1980,chemistry,4,"""for their contributions concerning the determination of base sequences in nucleic acids""",,
Jean,Dausset,male,19/10/1916,France,Toulouse,FR,06/06/2009,Spain,Palma Majorca,ES,Université de Paris Laboratoire Immuno-Hématologie,Paris,France,1980,medicine,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",,
Baruj,Benacerraf,male,29/10/1920,Venezuela,Caracas,VE,02/08/2011,USA,Boston MA,US,Harvard Medical School,Boston MA,USA,1980,medicine,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",,
Lawrence R.,Klein,male,14/09/1920,USA,Omaha NE,US,20/10/2013,USA,Gladwyne PA,US,University of Pennsylvania,Philadelphia PA,USA,1980,economics,1,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",,
Paul,Berg,male,30/06/1926,USA,New York NY,US,15/02/2023,USA,Stanford CA,US,Stanford University,Stanford CA,USA,1980,chemistry,2,"""for his fundamental studies of the biochemistry of nucleic acids with particular regard to recombinant-DNA""",,
Adolfo,Pérez Esquivel,male,26/11/1931,Argentina,Buenos Aires,AR,0000-00-00,,,,,,,1980,peace,1,"""for being a source of inspiration to repressed people especially in Latin America""",,
Walter,Gilbert,male,21/03/1932,USA,Boston MA,US,0000-00-00,,,,Harvard University Biological Laboratories,Cambridge MA,USA,1980,chemistry,4,"""for their contributions concerning the determination of base sequences in nucleic acids""",,
Val,Fitch,male,10/03/1923,USA,Merriman NE,US,05/02/2015,USA,Princeton NJ,US,Princeton University,Princeton NJ,USA,1980,physics,2,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",,
James,Cronin,male,29/09/1931,USA,Chicago IL,US,25/08/2016,USA,St. Paul MN,US,University of Chicago,Chicago IL,USA,1980,physics,2,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",,
Czeslaw,Milosz,male,30/06/1911,Russian Empire (now Lithuania),Śeteniai,LT,14/08/2004,Poland,Kraków,PL,,,,1980,literature,1,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",,
George D.,Snell,male,19/12/1903,USA,Bradford MA,US,06/06/1996,USA,Bar Harbor ME,US,Jackson Laboratory,Bar Harbor ME,USA,1980,medicine,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",,
James,Tobin,male,05/03/1918,USA,Champaign IL,US,11/03/2002,USA,New Haven CT,US,Yale University,New Haven CT,USA,1981,economics,1,"""for his analysis of financial markets and their relations to expenditure decisions employment production and prices""",,
Elias,Canetti,male,25/07/1905,Bulgaria,Ruse,BG,14/08/1994,Switzerland,Zurich,CH,,,,1981,literature,1,"""for writings marked by a broad outlook a wealth of ideas and artistic power""",,
David H.,Hubel,male,27/02/1926,Canada,Windsor ON,CA,22/09/2013,USA,Lincoln MA,US,Harvard Medical School,Boston MA,USA,1981,medicine,4,"""for their discoveries concerning information processing in the visual system""",,
Nicolaas,Bloembergen,male,11/03/1920,the Netherlands,Dordrecht,NL,05/09/2017,USA,Tucson AZ,US,Harvard University,Cambridge MA,USA,1981,physics,4,"""for their contribution to the development of laser spectroscopy""",,
Office of the United Nations High Commissioner for Refugees,,org,14/12/1950,NA,NA,NA,0000-00-00,NA,NA,NA,NA,NA,NA,1954,peace,1,"""for its efforts to heal the wounds of war by providing help and protection to refugees all over the world""",,
Office of the United Nations High Commissioner for Refugees,,org,14/12/1950,NA,NA,NA,0000-00-00,NA,NA,NA,NA,NA,NA,1981,peace,1,"""for promoting the fundamental rights of refugees""",,
Roger W.,Sperry,male,20/08/1913,USA,Hartford CT,US,17/04/1994,USA,Pasadena CA,US,California Institute of Technology (Caltech),Pasadena CA,USA,1981,medicine,2,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",,
Kenichi,Fukui,male,04/10/1918,Japan,Nara,JP,09/01/1998,Japan,Kyoto,JP,Kyoto University,Kyoto,Japan,1981,chemistry,2,"""for their theories developed independently concerning the course of chemical reactions""",,
Roald,Hoffmann,male,18/07/1937,Poland (now Ukraine),Zloczov,UA,0000-00-00,,,,Cornell University,Ithaca NY,USA,1981,chemistry,2,"""for their theories developed independently concerning the course of chemical reactions""",,
Torsten N.,Wiesel,male,03/06/1924,Sweden,Uppsala,SE,0000-00-00,,,,Harvard Medical School,Boston MA,USA,1981,medicine,4,"""for their discoveries concerning information processing in the visual system""",,
Arthur L.,Schawlow,male,05/05/1921,USA,Mount Vernon NY,US,28/04/1999,USA,Palo Alto CA,US,Stanford University,Stanford CA,USA,1981,physics,4,"""for their contribution to the development of laser spectroscopy""",,
Kai M.,Siegbahn,male,20/04/1918,Sweden,Lund,SE,20/07/2007,Sweden,Ängelholm,SE,Uppsala University,Uppsala,Sweden,1981,physics,2,"""for his contribution to the development of high-resolution electron spectroscopy""",,
George J.,Stigler,male,17/01/1911,USA,Renton WA,US,01/12/1991,USA,Chicago IL,US,University of Chicago,Chicago IL,USA,1982,economics,1,"""for his seminal studies of industrial structures functioning of markets and causes and effects of public regulation""",,
Alva,Myrdal,female,31/01/1902,Sweden,Uppsala,SE,01/02/1986,Sweden,Stockholm,SE,,,,1982,peace,2,"""for their work for disarmament and nuclear and weapon-free zones""",,
Gabriel,García Márquez,male,06/03/1927,Colombia,Aracataca,CO,17/04/2014,Mexico,Mexico City,MX,,,,1982,literature,1,"""for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continent's life and conflicts""",,
John R.,Vane,male,29/03/1927,United Kingdom,Tardebigg,GB,19/11/2004,United Kingdom,Farnborough,GB,The Wellcome Research Laboratories,Beckenham,United Kingdom,1982,medicine,3,"""for their discoveries concerning prostaglandins and related biologically active substances""",,
Aaron,Klug,male,11/08/1926,Lithuania,Zelvas,LT,20/11/2018,,,,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1982,chemistry,1,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",,
Sune K.,Bergström,male,10/01/1916,Sweden,Stockholm,SE,15/08/2004,Sweden,Stockholm,SE,Karolinska Institutet,Stockholm,Sweden,1982,medicine,3,"""for their discoveries concerning prostaglandins and related biologically active substances""",,
Kenneth G.,Wilson,male,08/06/1936,USA,Waltham MA,US,15/06/2013,USA,Saco ME,US,Cornell University,Ithaca NY,USA,1982,physics,1,"""for his theory for critical phenomena in connection with phase transitions""",,
Alfonso,García Robles,male,20/03/1911,Mexico,Zamora,MX,02/09/1991,Mexico,Mexico City,MX,,,,1982,peace,2,"""for their work for disarmament and nuclear and weapon-free zones""",,
Bengt I.,Samuelsson,male,21/05/1934,Sweden,Halmstad,SE,0000-00-00,,,,Karolinska Institutet,Stockholm,Sweden,1982,medicine,3,"""for their discoveries concerning prostaglandins and related biologically active substances""",,
Lech,Walesa,male,29/09/1943,Poland,Popowo,PL,0000-00-00,,,,,,,1983,peace,1,"""for non-violent struggle for free trade unions and human rights in Poland""",,
Henry,Taube,male,30/11/1915,Canada,Neudorf,CA,16/11/2005,USA,Stanford CA,US,Stanford University,Stanford CA,USA,1983,chemistry,1,"""for his work on the mechanisms of electron transfer reactions especially in metal complexes""",,
Barbara,McClintock,female,16/06/1902,USA,Hartford CT,US,02/09/1992,USA,Huntington NY,US,Cold Spring Harbor Laboratory,Cold Spring Harbor NY,USA,1983,medicine,1,"""for her discovery of mobile genetic elements""",,
Gerard,Debreu,male,04/07/1921,France,Calais,FR,31/12/2004,France,Paris,FR,University of California,Berkeley CA,USA,1983,economics,1,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",,
William,Golding,male,19/09/1911,United Kingdom,St. Columb Minor,GB,19/06/1993,United Kingdom,Perranarworthal,GB,,,,1983,literature,1,"""for his novels which with the perspicuity of realistic narrative art and the diversity and universality of myth illuminate the human condition in the world of today""",,
William A.,Fowler,male,09/08/1911,USA,Pittsburgh PA,US,14/03/1995,USA,Pasadena CA,US,California Institute of Technology (Caltech),Pasadena CA,USA,1983,physics,2,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",,
Subramanyan,Chandrasekhar,male,19/10/1910,India (now Pakistan),Lahore,PK,21/08/1995,USA,Chicago IL,US,University of Chicago,Chicago IL,USA,1983,physics,2,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",,
Niels K.,Jerne,male,23/12/1911,United Kingdom,London,GB,07/10/1994,France,Castillon-du-Gard,FR,Basel Institute for Immunology,Basel,Switzerland,1984,medicine,3,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",,
Georges J.F.,Köhler,male,17/04/1946,Germany,Munich,DE,01/03/1995,Germany,Freiburg im Breisgau,DE,Basel Institute for Immunology,Basel,Switzerland,1984,medicine,3,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",,
César,Milstein,male,08/10/1927,Argentina,Bahia Blanca,AR,24/03/2002,United Kingdom,Cambridge,GB,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1984,medicine,3,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",,
Jaroslav,Seifert,male,23/09/1901,Austria-Hungary (now Czech Republic),Prague,CZ,10/01/1986,Czechoslovakia (now Czech Republic),Prague,CZ,,,,1984,literature,1,"""for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",,
Desmond,Tutu,male,07/10/1931,South Africa,Klerksdorp,ZA,26/12/2021,South Africa,Cape Town,ZA,,,,1984,peace,1,"""for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa""",,
Bruce,Merrifield,male,15/07/1921,USA,Fort Worth TX,US,14/05/2006,USA,Cresskill NJ,US,Rockefeller University,New York NY,USA,1984,chemistry,1,"""for his development of methodology for chemical synthesis on a solid matrix""",,
Simon,van der Meer,male,24/11/1925,the Netherlands,the Hague,NL,04/03/2011,Switzerland,Geneva,CH,CERN,Geneva,Switzerland,1984,physics,2,"""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""",,
Carlo,Rubbia,male,31/03/1934,Italy,Gorizia,IT,0000-00-00,,,,CERN,Geneva,Switzerland,1984,physics,2,"""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""",,
Richard,Stone,male,30/08/1913,United Kingdom,London,GB,06/12/1991,United Kingdom,Cambridge,GB,University of Cambridge,Cambridge,United Kingdom,1984,economics,1,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",,
International Physicians for the Prevention of Nuclear War,,org,1980-00-00,NA,NA,NA,0000-00-00,NA,NA,NA,NA,NA,NA,1985,peace,1,"""for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war""",,
Klaus,von Klitzing,male,28/06/1943,German-occupied Poland (now Poland),Schroda,PL,0000-00-00,,,,Max-Planck-Institut für Festkörperforschung,Stuttgart,Germany,1985,physics,1,"""for the discovery of the quantized Hall effect""",,
Joseph L.,Goldstein,male,18/04/1940,USA,Sumter SC,US,0000-00-00,,,,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,1985,medicine,2,"""for their discoveries concerning the regulation of cholesterol metabolism""",,
Michael S.,Brown,male,13/04/1941,USA,New York NY,US,0000-00-00,,,,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,1985,medicine,2,"""for their discoveries concerning the regulation of cholesterol metabolism""",,
Herbert A.,Hauptman,male,14/02/1917,USA,New York NY,US,23/10/2011,USA,Buffalo NY,US,The Medical Foundation of Buffalo,Buffalo NY,USA,1985,chemistry,2,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",,
Jerome,Karle,male,18/06/1918,USA,New York NY,US,06/06/2013,USA,Annandale VA,US,US Naval Research Laboratory,Washington D.C.,USA,1985,chemistry,2,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",,
Claude,Simon,male,10/10/1913,Madagascar,Tananarive (now Antananarivo),MG,06/07/2005,France,Paris,FR,,,,1985,literature,1,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",,
Franco,Modigliani,male,18/06/1918,Italy,Rome,IT,25/09/2003,USA,Cambridge MA,US,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1985,economics,1,"""for his pioneering analyses of saving and of financial markets""",,
Dudley R.,Herschbach,male,18/06/1932,USA,San José CA,US,0000-00-00,,,,Harvard University,Cambridge MA,USA,1986,chemistry,3,"""for their contributions concerning the dynamics of chemical elementary processes""",,
John C.,Polanyi,male,23/01/1929,Germany,Berlin,DE,0000-00-00,,,,University of Toronto,Toronto,Canada,1986,chemistry,3,"""for their contributions concerning the dynamics of chemical elementary processes""",,
Gerd,Binnig,male,20/07/1947,West Germany (now Germany),Frankfurt-on-the-Main,DE,0000-00-00,,,,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,1986,physics,4,"""for their design of the scanning tunneling microscope""",,
Heinrich,Rohrer,male,06/06/1933,Switzerland,Buchs,CH,16/05/2013,Switzerland,Wollerau,CH,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,1986,physics,4,"""for their design of the scanning tunneling microscope""",,
Ernst,Ruska,male,25/12/1906,Germany,Heidelberg,DE,27/05/1988,Germany,West Berlin,DE,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,1986,physics,2,"""for his fundamental work in electron optics and for the design of the first electron microscope""",,
Yuan T.,Lee,male,19/11/1936,Taiwan,Hsinchu,TW,0000-00-00,,,,University of California,Berkeley CA,USA,1986,chemistry,3,"""for their contributions concerning the dynamics of chemical elementary processes""",,
Rita,Levi-Montalcini,female,22/04/1909,Italy,Turin,IT,30/12/2012,Italy,Rome,IT,Institute of Cell Biology of the C.N.R.,Rome,Italy,1986,medicine,2,"""for their discoveries of growth factors""",,
Stanley,Cohen,male,17/11/1922,USA,Brooklyn NY,US,05/02/2020,USA,Nashville TN,US,Vanderbilt University School of Medicine,Nashville TN,USA,1986,medicine,2,"""for their discoveries of growth factors""",,
Elie,Wiesel,male,30/09/1928,Romania,Sighet,RO,02/07/2016,USA,New York NY,US,,,,1986,peace,1,"""for being a messenger to mankind: his message is one of peace atonement and dignity""",,
Wole,Soyinka,male,13/07/1934,Nigeria,Abeokuta,NG,0000-00-00,,,,,,,1986,literature,1,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",,
James M.,Buchanan Jr.,male,03/10/1919,USA,Murfreesboro TN,US,09/01/2013,USA,Blacksburg VA,US,Center for Study of Public Choice,Fairfax VA,USA,1986,economics,1,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",,
Charles J.,Pedersen,male,03/10/1904,Korea (now South Korea),Pusan,KR,26/10/1989,USA,Salem NJ,US,Du Pont,Wilmington DE,USA,1987,chemistry,3,"""for their development and use of molecules with structure-specific interactions of high selectivity""",,
Joseph,Brodsky,male,24/05/1940,USSR (now Russia),Leningrad (now St. Petersburg),RU,28/01/1996,USA,New York NY,US,,,,1987,literature,1,"""for an all-embracing authorship imbued with clarity of thought and poetic intensity""",,
K. Alex,Müller,male,20/04/1927,Switzerland,Basel,CH,09/01/2023,Switzerland,Zurich,CH,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,1987,physics,2,"""for their important break-through in the discovery of superconductivity in ceramic materials""",,
Jean-Marie,Lehn,male,30/09/1939,France,Rosheim,FR,0000-00-00,,,,Université Louis Pasteur,Strasbourg,France,1987,chemistry,3,"""for their development and use of molecules with structure-specific interactions of high selectivity""",,
J. Georg,Bednorz,male,16/05/1950,West Germany (now Germany),Neuenkirchen,DE,0000-00-00,,,,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,1987,physics,2,"""for their important break-through in the discovery of superconductivity in ceramic materials""",,
Susumu,Tonegawa,male,05/09/1939,Japan,Nagoya,JP,0000-00-00,,,,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1987,medicine,1,"""for his discovery of the genetic principle for generation of antibody diversity""",,
Robert M.,Solow,male,23/08/1924,USA,Brooklyn NY,US,0000-00-00,,,,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1987,economics,1,"""for his contributions to the theory of economic growth""",,
Oscar,Arias Sánchez,male,13/09/1940,Costa Rica,Heredia,CR,0000-00-00,,,,,,,1987,peace,1,"""for his work for lasting peace in Central America""",,
Donald J.,Cram,male,22/04/1919,USA,Chester VT,US,17/06/2001,USA,Palm Desert CA,US,University of California,Los Angeles CA,USA,1987,chemistry,3,"""for their development and use of molecules with structure-specific interactions of high selectivity""",,
United Nations Peacekeeping Forces,,org,1948-00-00,NA,NA,NA,0000-00-00,NA,NA,NA,NA,NA,NA,1988,peace,1,"""for preventing armed clashes and creating conditions for negotiations""",,
Jack,Steinberger,male,25/05/1921,Germany,Bad Kissingen,DE,12/12/2020,Switzerland,Geneva,CH,CERN,Geneva,Switzerland,1988,physics,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",,
Melvin,Schwartz,male,02/11/1932,USA,New York NY,US,28/08/2006,USA,Twin Falls ID,US,Digital Pathways Inc.,Mountain View CA,USA,1988,physics,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",,
Leon M.,Lederman,male,15/07/1922,USA,New York NY,US,03/10/2018,USA,Rexburg ID,US,Fermi National Accelerator Laboratory,Batavia IL,USA,1988,physics,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",,
George H.,Hitchings,male,18/04/1905,USA,Hoquiam WA,US,27/02/1998,USA,Chapel Hill NC,US,Wellcome Research Laboratories,Research Triangle Park NC,USA,1988,medicine,3,"""for their discoveries of important principles for drug treatment""",,
Hartmut,Michel,male,18/07/1948,West Germany (now Germany),Ludwigsburg,DE,0000-00-00,,,,Max-Planck-Institut für Biophysik,Frankfurt-on-the-Main,Germany,1988,chemistry,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",,
Robert,Huber,male,20/02/1937,Germany,Munich,DE,0000-00-00,,,,Max-Planck-Institut für Biochemie,Martinsried,Germany,1988,chemistry,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",,
Johann,Deisenhofer,male,30/09/1943,Germany,Zusamaltheim,DE,0000-00-00,,,,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,1988,chemistry,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",,
Naguib,Mahfouz,male,11/12/1911,Egypt,Cairo,EG,30/08/2006,Egypt,Cairo,EG,,,,1988,literature,1,"""who through works rich in nuance - now clear-sightedly realistic now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",,
Sir James W.,Black,male,14/06/1924,Scotland,Uddingston,GB,21/03/2010,,,,London University King's College Hospital Medical School,London,United Kingdom,1988,medicine,3,"""for their discoveries of important principles for drug treatment""",,
Gertrude B.,Elion,female,23/01/1918,USA,New York NY,US,21/02/1999,USA,Chapel Hill NC,US,Wellcome Research Laboratories,Research Triangle Park NC,USA,1988,medicine,3,"""for their discoveries of important principles for drug treatment""",,
Maurice,Allais,male,31/05/1911,France,Paris,FR,09/10/2010,France,Paris,FR,École Nationale Supérieur des Mines de Paris,Paris,France,1988,economics,1,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",,
Thomas R.,Cech,male,08/12/1947,USA,Chicago IL,US,0000-00-00,,,,University of Colorado,Boulder CO,USA,1989,chemistry,2,"""for their discovery of catalytic properties of RNA""",,
Sidney,Altman,male,07/05/1939,Canada,Montreal,CA,05/04/2022,USA,Rockleigh NJ,US,Yale University,New Haven CT,USA,1989,chemistry,2,"""for their discovery of catalytic properties of RNA""",,
Hans G.,Dehmelt,male,09/09/1922,Prussia (now Germany),Görlitz,DE,07/03/2017,USA,Seattle WA,US,University of Washington,Seattle WA,USA,1989,physics,4,"""for the development of the ion trap technique""",,
Norman F.,Ramsey,male,27/08/1915,USA,Washington D.C.,US,04/11/2011,USA,Wayland MA,US,Harvard University,Cambridge MA,USA,1989,physics,2,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",,
J. Michael,Bishop,male,22/02/1936,USA,York PA,US,0000-00-00,,,,University of California School of Medicine,San Francisco CA,USA,1989,medicine,2,"""for their discovery of the cellular origin of retroviral oncogenes""",,
Wolfgang,Paul,male,10/08/1913,Germany,Lorenzkirch,DE,07/12/1993,Germany,Bonn,DE,University of Bonn,Bonn,Germany,1989,physics,4,"""for the development of the ion trap technique""",,
Trygve,Haavelmo,male,13/12/1911,Norway,Skedsmo,NO,26/07/1999,Norway,Oslo,NO,University of Oslo,Oslo,Norway,1989,economics,1,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures""",,
Camilo José,Cela,male,11/05/1916,Spain,Iria Flavia,ES,17/01/2002,Spain,Madrid,ES,,,,1989,literature,1,"""for a rich and intensive prose which with restrained compassion forms a challenging vision of man's vulnerability""",,
Lhamo,Thondup,male,06/07/1935,Tibet (now China),Taktser,CN,0000-00-00,,,,,,,1989,peace,1,"""for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people""",,
Harold E.,Varmus,male,18/12/1939,USA,Oceanside NY,US,0000-00-00,,,,University of California School of Medicine,San Francisco CA,USA,1989,medicine,2,"""for their discovery of the cellular origin of retroviral oncogenes""",,
Octavio,Paz,male,31/03/1914,Mexico,Mexico City,MX,19/04/1998,Mexico,Mexico City,MX,,,,1990,literature,1,"""for impassioned writing with wide horizons characterized by sensuous intelligence and humanistic integrity""",,
Richard E.,Taylor,male,02/11/1929,Canada,Medicine Hat Alberta,CA,22/02/2018,USA,Stanford CA,US,Stanford University,Stanford CA,USA,1990,physics,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",,
Henry W.,Kendall,male,09/12/1926,USA,Boston MA,US,15/02/1999,USA,Wakulla Springs State Park FL,US,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1990,physics,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",,
Jerome I.,Friedman,male,28/03/1930,USA,Chicago IL,US,0000-00-00,,,,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1990,physics,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",,
Harry M.,Markowitz,male,24/08/1927,USA,Chicago IL,US,0000-00-00,,,,City University of New York,New York NY,USA,1990,economics,3,"""for their pioneering work in the theory of financial economics""",,
Merton H.,Miller,male,16/05/1923,USA,Boston MA,US,03/06/2000,USA,Chicago IL,US,University of Chicago,Chicago IL,USA,1990,economics,3,"""for their pioneering work in the theory of financial economics""",,
Joseph E.,Murray,male,01/04/1919,USA,Milford MA,US,26/11/2012,USA,Boston MA,US,Brigham and Women's Hospital,Boston MA,USA,1990,medicine,2,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",,
Mikhail,Gorbachev,male,02/03/1931,USSR (now Russia),Privolnoye,RU,30/08/2022,Russia,Moscow,RU,,,,1990,peace,1,"""for the leading role he played in the radical changes in East-West relations""",,
E. Donnall,Thomas,male,15/03/1920,USA,Mart TX,US,20/10/2012,USA,Seattle WA,US,Fred Hutchinson Cancer Research Center,Seattle WA,USA,1990,medicine,2,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",,
William F.,Sharpe,male,16/06/1934,USA,Boston MA,US,0000-00-00,,,,Stanford University,Stanford CA,USA,1990,economics,3,"""for their pioneering work in the theory of financial economics""",,
Elias James,Corey,male,12/07/1928,USA,Methuen MA,US,0000-00-00,,,,Harvard University,Cambridge MA,USA,1990,chemistry,1,"""for his development of the theory and methodology of organic synthesis""",,
Ronald H.,Coase,male,29/12/1910,United Kingdom,Willesden,GB,02/09/2013,USA,Chicago IL,US,University of Chicago,Chicago IL,USA,1991,economics,1,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy""",,
Nadine,Gordimer,female,20/11/1923,South Africa,Springs,ZA,13/07/2014,South Africa,Johannesburg,ZA,,,,1991,literature,1,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",,
Bert,Sakmann,male,12/06/1942,Germany,Stuttgart,DE,0000-00-00,,,,Max-Planck-Institut für medizinische Forschung,Heidelberg,Germany,1991,medicine,2,"""for their discoveries concerning the function of single ion channels in cells""",,
Pierre-Gilles,de Gennes,male,24/10/1932,France,Paris,FR,18/05/2007,France,Orsay,FR,Collège de France,Paris,France,1991,physics,1,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers""",,
Aung San Suu Kyi,,female,19/06/1945,Burma (now Myanmar),Rangoon (now Yangon),MM,0000-00-00,,,,,,,1991,peace,1,"""for her non-violent struggle for democracy and human rights""",,
Erwin,Neher,male,20/03/1944,Germany,Landsberg,DE,0000-00-00,,,,Max-Planck-Institut für Biophysikalische Chemie,Göttingen,Germany,1991,medicine,2,"""for their discoveries concerning the function of single ion channels in cells""",,
Richard R.,Ernst,male,14/08/1933,Switzerland,Winterthur,CH,04/06/2021,Switzerland,Winterthur,CH,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1991,chemistry,1,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",,
Derek,Walcott,male,23/01/1930,Saint Lucia,Castries,LC,17/03/2017,Saint Lucia,Gros-Islet,LC,,,,1992,literature,1,"""for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment""",,
Edmond H.,Fischer,male,06/04/1920,China,Shanghai,CN,27/08/2021,USA,Seattle WA,US,University of Washington,Seattle WA,USA,1992,medicine,2,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",,
Rudolph A.,Marcus,male,21/07/1923,Canada,Montreal,CA,0000-00-00,,,,California Institute of Technology (Caltech),Pasadena CA,USA,1992,chemistry,1,"""for his contributions to the theory of electron transfer reactions in chemical systems""",,
Gary,Becker,male,02/12/1930,USA,Pottsville PA,US,03/05/2014,USA,Chicago IL,US,University of Chicago,Chicago IL,USA,1992,economics,1,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour""",,
