Category,Motivation,clean
peace,"""for his efforts to secure and develop human rights throughout the world""",for his efforts to secure and develop human rights throughout the world
economics,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena""",for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena
medicine,"""for their discoveries concerning the structural and functional organization of the cell""",for their discoveries concerning the structural and functional organization of the cell
chemistry,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",for his work on the stereochemistry of enzymecatalyzed reactions
chemistry,"""for his research into the stereochemistry of organic molecules and reactions""",for his research into the stereochemistry of organic molecules and reactions
medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
economics,"""for their contributions to the theory of optimum allocation of resources""",for their contributions to the theory of optimum allocation of resources
economics,"""for their contributions to the theory of optimum allocation of resources""",for their contributions to the theory of optimum allocation of resources
literature,"""for his distinctive poetry which with great artistic sensitivity has interpreted human values under the sign of an outlook on life with no illusions""",for his distinctive poetry which with great artistic sensitivity has interpreted human values under the sign of an outlook on life with no illusions
medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
peace,"""for his struggle for human rights in the Soviet Union for disarmament and cooperation between all nations""",for his struggle for human rights in the soviet union for disarmament and cooperation between all nations
economics,"""for his achievements in the fields of consumption analysis monetary history and theory and for his demonstration of the complexity of stabilization policy""",for his achievements in the fields of consumption analysis monetary history and theory and for his demonstration of the complexity of stabilization policy
chemistry,"""for his studies on the structure of boranes illuminating problems of chemical bonding""",for his studies on the structure of boranes illuminating problems of chemical bonding
peace,"""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland""",for the courageous efforts in founding a movement to put an end to the violent conflict in northern ireland
physics,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",for their pioneering work in the discovery of a heavy elementary particle of a new kind
physics,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",for their pioneering work in the discovery of a heavy elementary particle of a new kind
medicine,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
medicine,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
peace,"""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland""",for the courageous efforts in founding a movement to put an end to the violent conflict in northern ireland
literature,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work""",for the human understanding and subtle analysis of contemporary culture that are combined in his work
physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
economics,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",for their pathbreaking contribution to the theory of international trade and international capital movements
economics,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",for their pathbreaking contribution to the theory of international trade and international capital movements
physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
medicine,"""for their discoveries concerning the peptide hormone production of the brain""",for their discoveries concerning the peptide hormone production of the brain
medicine,"""for the development of radioimmunoassays of peptide hormones""",for the development of radioimmunoassays of peptide hormones
chemistry,"""for his contributions to non-equilibrium thermodynamics particularly the theory of dissipative structures""",for his contributions to nonequilibrium thermodynamics particularly the theory of dissipative structures
medicine,"""for their discoveries concerning the peptide hormone production of the brain""",for their discoveries concerning the peptide hormone production of the brain
peace,"""for worldwide respect for human rights""",for worldwide respect for human rights
literature,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",for a creative poetic writing which illuminates mans condition in the cosmos and in presentday society at the same time representing the great renewal of the traditions of spanish poetry between the wars
peace,"""for jointly having negotiated peace between Egypt and Israel in 1978""",for jointly having negotiated peace between egypt and israel in 1978
peace,"""for jointly having negotiated peace between Egypt and Israel in 1978""",for jointly having negotiated peace between egypt and israel in 1978
physics,"""for their discovery of cosmic microwave background radiation""",for their discovery of cosmic microwave background radiation
medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",for the discovery of restriction enzymes and their application to problems of molecular genetics
medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",for the discovery of restriction enzymes and their application to problems of molecular genetics
medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",for the discovery of restriction enzymes and their application to problems of molecular genetics
physics,"""for their discovery of cosmic microwave background radiation""",for their discovery of cosmic microwave background radiation
literature,"""for his impassioned narrative art which with roots in a Polish-Jewish cultural tradition brings universal human conditions to life""",for his impassioned narrative art which with roots in a polishjewish cultural tradition brings universal human conditions to life
economics,"""for his pioneering research into the decision-making process within economic organizations""",for his pioneering research into the decisionmaking process within economic organizations
physics,"""for his basic inventions and discoveries in the area of low-temperature physics""",for his basic inventions and discoveries in the area of lowtemperature physics
chemistry,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory
chemistry,"""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis""",for their development of the use of boron and phosphoruscontaining compounds respectively into important reagents in organic synthesis
economics,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",for their pioneering research into economic development research with particular consideration of the problems of developing countries
economics,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",for their pioneering research into economic development research with particular consideration of the problems of developing countries
peace,"""for her work for bringing help to suffering humanity""",for her work for bringing help to suffering humanity
chemistry,"""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis""",for their development of the use of boron and phosphoruscontaining compounds respectively into important reagents in organic synthesis
physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current
physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current
medicine,"""for the development of computer assisted tomography""",for the development of computer assisted tomography
medicine,"""for the development of computer assisted tomography""",for the development of computer assisted tomography
literature,"""for his poetry which against the background of Greek tradition depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",for his poetry which against the background of greek tradition depicts with sensuous strength and intellectual clearsightedness modern mans struggle for freedom and creativeness
physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current
chemistry,"""for his work on the structure of proteins especially that of insulin""",for his work on the structure of proteins especially that of insulin
chemistry,"""for their contributions concerning the determination of base sequences in nucleic acids""",for their contributions concerning the determination of base sequences in nucleic acids
medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
economics,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies
chemistry,"""for his fundamental studies of the biochemistry of nucleic acids with particular regard to recombinant-DNA""",for his fundamental studies of the biochemistry of nucleic acids with particular regard to recombinantdna
peace,"""for being a source of inspiration to repressed people especially in Latin America""",for being a source of inspiration to repressed people especially in latin america
chemistry,"""for their contributions concerning the determination of base sequences in nucleic acids""",for their contributions concerning the determination of base sequences in nucleic acids
physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",for the discovery of violations of fundamental symmetry principles in the decay of neutral kmesons
physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",for the discovery of violations of fundamental symmetry principles in the decay of neutral kmesons
literature,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",who with uncompromising clearsightedness voices mans exposed condition in a world of severe conflicts
medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
economics,"""for his analysis of financial markets and their relations to expenditure decisions employment production and prices""",for his analysis of financial markets and their relations to expenditure decisions employment production and prices
literature,"""for writings marked by a broad outlook a wealth of ideas and artistic power""",for writings marked by a broad outlook a wealth of ideas and artistic power
medicine,"""for their discoveries concerning information processing in the visual system""",for their discoveries concerning information processing in the visual system
physics,"""for their contribution to the development of laser spectroscopy""",for their contribution to the development of laser spectroscopy
peace,"""for its efforts to heal the wounds of war by providing help and protection to refugees all over the world""",for its efforts to heal the wounds of war by providing help and protection to refugees all over the world
peace,"""for promoting the fundamental rights of refugees""",for promoting the fundamental rights of refugees
medicine,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",for his discoveries concerning the functional specialization of the cerebral hemispheres
chemistry,"""for their theories developed independently concerning the course of chemical reactions""",for their theories developed independently concerning the course of chemical reactions
chemistry,"""for their theories developed independently concerning the course of chemical reactions""",for their theories developed independently concerning the course of chemical reactions
medicine,"""for their discoveries concerning information processing in the visual system""",for their discoveries concerning information processing in the visual system
physics,"""for their contribution to the development of laser spectroscopy""",for their contribution to the development of laser spectroscopy
physics,"""for his contribution to the development of high-resolution electron spectroscopy""",for his contribution to the development of highresolution electron spectroscopy
economics,"""for his seminal studies of industrial structures functioning of markets and causes and effects of public regulation""",for his seminal studies of industrial structures functioning of markets and causes and effects of public regulation
peace,"""for their work for disarmament and nuclear and weapon-free zones""",for their work for disarmament and nuclear and weaponfree zones
literature,"""for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continent's life and conflicts""",for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continents life and conflicts
medicine,"""for their discoveries concerning prostaglandins and related biologically active substances""",for their discoveries concerning prostaglandins and related biologically active substances
chemistry,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acidprotein complexes
medicine,"""for their discoveries concerning prostaglandins and related biologically active substances""",for their discoveries concerning prostaglandins and related biologically active substances
physics,"""for his theory for critical phenomena in connection with phase transitions""",for his theory for critical phenomena in connection with phase transitions
peace,"""for their work for disarmament and nuclear and weapon-free zones""",for their work for disarmament and nuclear and weaponfree zones
medicine,"""for their discoveries concerning prostaglandins and related biologically active substances""",for their discoveries concerning prostaglandins and related biologically active substances
peace,"""for non-violent struggle for free trade unions and human rights in Poland""",for nonviolent struggle for free trade unions and human rights in poland
chemistry,"""for his work on the mechanisms of electron transfer reactions especially in metal complexes""",for his work on the mechanisms of electron transfer reactions especially in metal complexes
medicine,"""for her discovery of mobile genetic elements""",for her discovery of mobile genetic elements
economics,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium
literature,"""for his novels which with the perspicuity of realistic narrative art and the diversity and universality of myth illuminate the human condition in the world of today""",for his novels which with the perspicuity of realistic narrative art and the diversity and universality of myth illuminate the human condition in the world of today
physics,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe
physics,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",for his theoretical studies of the physical processes of importance to the structure and evolution of the stars
medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
literature,"""for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man
peace,"""for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa""",for his role as a unifying leader figure in the nonviolent campaign to resolve the problem of apartheid in south africa
chemistry,"""for his development of methodology for chemical synthesis on a solid matrix""",for his development of methodology for chemical synthesis on a solid matrix
physics,"""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""",for their decisive contributions to the large project which led to the discovery of the field particles w and z communicators of weak interaction
physics,"""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""",for their decisive contributions to the large project which led to the discovery of the field particles w and z communicators of weak interaction
economics,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis
peace,"""for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war""",for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war
physics,"""for the discovery of the quantized Hall effect""",for the discovery of the quantized hall effect
medicine,"""for their discoveries concerning the regulation of cholesterol metabolism""",for their discoveries concerning the regulation of cholesterol metabolism
medicine,"""for their discoveries concerning the regulation of cholesterol metabolism""",for their discoveries concerning the regulation of cholesterol metabolism
chemistry,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",for their outstanding achievements in the development of direct methods for the determination of crystal structures
chemistry,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",for their outstanding achievements in the development of direct methods for the determination of crystal structures
literature,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",who in his novel combines the poets and the painters creativeness with a deepened awareness of time in the depiction of the human condition
economics,"""for his pioneering analyses of saving and of financial markets""",for his pioneering analyses of saving and of financial markets
chemistry,"""for their contributions concerning the dynamics of chemical elementary processes""",for their contributions concerning the dynamics of chemical elementary processes
chemistry,"""for their contributions concerning the dynamics of chemical elementary processes""",for their contributions concerning the dynamics of chemical elementary processes
physics,"""for their design of the scanning tunneling microscope""",for their design of the scanning tunneling microscope
physics,"""for their design of the scanning tunneling microscope""",for their design of the scanning tunneling microscope
physics,"""for his fundamental work in electron optics and for the design of the first electron microscope""",for his fundamental work in electron optics and for the design of the first electron microscope
chemistry,"""for their contributions concerning the dynamics of chemical elementary processes""",for their contributions concerning the dynamics of chemical elementary processes
medicine,"""for their discoveries of growth factors""",for their discoveries of growth factors
medicine,"""for their discoveries of growth factors""",for their discoveries of growth factors
peace,"""for being a messenger to mankind: his message is one of peace atonement and dignity""",for being a messenger to mankind his message is one of peace atonement and dignity
literature,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",who in a wide cultural perspective and with poetic overtones fashions the drama of existence
economics,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",for his development of the contractual and constitutional bases for the theory of economic and political decisionmaking
chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity""",for their development and use of molecules with structurespecific interactions of high selectivity
literature,"""for an all-embracing authorship imbued with clarity of thought and poetic intensity""",for an allembracing authorship imbued with clarity of thought and poetic intensity
physics,"""for their important break-through in the discovery of superconductivity in ceramic materials""",for their important breakthrough in the discovery of superconductivity in ceramic materials
chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity""",for their development and use of molecules with structurespecific interactions of high selectivity
physics,"""for their important break-through in the discovery of superconductivity in ceramic materials""",for their important breakthrough in the discovery of superconductivity in ceramic materials
medicine,"""for his discovery of the genetic principle for generation of antibody diversity""",for his discovery of the genetic principle for generation of antibody diversity
economics,"""for his contributions to the theory of economic growth""",for his contributions to the theory of economic growth
peace,"""for his work for lasting peace in Central America""",for his work for lasting peace in central america
chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity""",for their development and use of molecules with structurespecific interactions of high selectivity
peace,"""for preventing armed clashes and creating conditions for negotiations""",for preventing armed clashes and creating conditions for negotiations
physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
medicine,"""for their discoveries of important principles for drug treatment""",for their discoveries of important principles for drug treatment
chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",for the determination of the threedimensional structure of a photosynthetic reaction centre
chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",for the determination of the threedimensional structure of a photosynthetic reaction centre
chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",for the determination of the threedimensional structure of a photosynthetic reaction centre
literature,"""who through works rich in nuance - now clear-sightedly realistic now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",who through works rich in nuance now clearsightedly realistic now evocatively ambiguous has formed an arabian narrative art that applies to all mankind
medicine,"""for their discoveries of important principles for drug treatment""",for their discoveries of important principles for drug treatment
medicine,"""for their discoveries of important principles for drug treatment""",for their discoveries of important principles for drug treatment
economics,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",for his pioneering contributions to the theory of markets and efficient utilization of resources
chemistry,"""for their discovery of catalytic properties of RNA""",for their discovery of catalytic properties of rna
chemistry,"""for their discovery of catalytic properties of RNA""",for their discovery of catalytic properties of rna
physics,"""for the development of the ion trap technique""",for the development of the ion trap technique
physics,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks
medicine,"""for their discovery of the cellular origin of retroviral oncogenes""",for their discovery of the cellular origin of retroviral oncogenes
physics,"""for the development of the ion trap technique""",for the development of the ion trap technique
economics,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures""",for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures
literature,"""for a rich and intensive prose which with restrained compassion forms a challenging vision of man's vulnerability""",for a rich and intensive prose which with restrained compassion forms a challenging vision of mans vulnerability
peace,"""for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people""",for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people
medicine,"""for their discovery of the cellular origin of retroviral oncogenes""",for their discovery of the cellular origin of retroviral oncogenes
literature,"""for impassioned writing with wide horizons characterized by sensuous intelligence and humanistic integrity""",for impassioned writing with wide horizons characterized by sensuous intelligence and humanistic integrity
physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics
physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics
physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics
economics,"""for their pioneering work in the theory of financial economics""",for their pioneering work in the theory of financial economics
economics,"""for their pioneering work in the theory of financial economics""",for their pioneering work in the theory of financial economics
medicine,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",for their discoveries concerning organ and cell transplantation in the treatment of human disease
peace,"""for the leading role he played in the radical changes in East-West relations""",for the leading role he played in the radical changes in eastwest relations
medicine,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",for their discoveries concerning organ and cell transplantation in the treatment of human disease
economics,"""for their pioneering work in the theory of financial economics""",for their pioneering work in the theory of financial economics
chemistry,"""for his development of the theory and methodology of organic synthesis""",for his development of the theory and methodology of organic synthesis
economics,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy""",for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy
literature,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",who through her magnificent epic writing has in the words of alfred nobel been of very great benefit to humanity
medicine,"""for their discoveries concerning the function of single ion channels in cells""",for their discoveries concerning the function of single ion channels in cells
physics,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers""",for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers
peace,"""for her non-violent struggle for democracy and human rights""",for her nonviolent struggle for democracy and human rights
medicine,"""for their discoveries concerning the function of single ion channels in cells""",for their discoveries concerning the function of single ion channels in cells
chemistry,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",for his contributions to the development of the methodology of high resolution nuclear magnetic resonance nmr spectroscopy
literature,"""for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment""",for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment
medicine,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
chemistry,"""for his contributions to the theory of electron transfer reactions in chemical systems""",for his contributions to the theory of electron transfer reactions in chemical systems
economics,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour""",for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour
peace,"""for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples""",for her struggle for social justice and ethnocultural reconciliation based on respect for the rights of indigenous peoples
physics,"""for his invention and development of particle detectors in particular the multiwire proportional chamber""",for his invention and development of particle detectors in particular the multiwire proportional chamber
medicine,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
physics,"""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation""",for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation
physics,"""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation""",for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation
literature,"""who in novels characterized by visionary force and poetic import gives life to an essential aspect of American reality""",who in novels characterized by visionary force and poetic import gives life to an essential aspect of american reality
economics,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
chemistry,"""for his fundamental contributions to the establishment of oligonucleotide-based site-directed mutagenesis and its development for protein studies""",for his fundamental contributions to the establishment of oligonucleotidebased sitedirected mutagenesis and its development for protein studies
medicine,"""for their discoveries of split genes""",for their discoveries of split genes
medicine,"""for their discoveries of split genes""",for their discoveries of split genes
chemistry,"""for his invention of the polymerase chain reaction (PCR) method""",for his invention of the polymerase chain reaction pcr method
peace,"""for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa""",for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic south africa
economics,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
peace,"""for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa""",for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic south africa
medicine,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",for their discovery of gproteins and the role of these proteins in signal transduction in cells
medicine,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",for their discovery of gproteins and the role of these proteins in signal transduction in cells
chemistry,"""for his contribution to carbocation chemistry""",for his contribution to carbocation chemistry
physics,"""for the development of neutron spectroscopy""",for the development of neutron spectroscopy
physics,"""for the development of the neutron diffraction technique""",for the development of the neutron diffraction technique
literature,"""who with poetic force creates an imagined world where life and myth condense to form a disconcerting picture of the human predicament today""",who with poetic force creates an imagined world where life and myth condense to form a disconcerting picture of the human predicament today
peace,"""for their efforts to create peace in the Middle East""",for their efforts to create peace in the middle east
peace,"""for their efforts to create peace in the Middle East""",for their efforts to create peace in the middle east
peace,"""for their efforts to create peace in the Middle East""",for their efforts to create peace in the middle east
economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",for their pioneering analysis of equilibria in the theory of noncooperative games
economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",for their pioneering analysis of equilibria in the theory of noncooperative games
economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",for their pioneering analysis of equilibria in the theory of noncooperative games
physics,"""for the detection of the neutrino""",for the detection of the neutrino
medicine,"""for their discoveries concerning the genetic control of early embryonic development""",for their discoveries concerning the genetic control of early embryonic development
chemistry,"""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone""",for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone
